run	Gbp	taxon_name	isolation_source
SRR13873189	2.197	Klebsiella pneumoniae	blood
SRR13873190	2.373	Klebsiella pneumoniae	blood
SRR13873191	1.361	Klebsiella pneumoniae	URINARY
SRR13873192	1.471	Klebsiella pneumoniae	respiratory
SRR13873193	1.074	Klebsiella quasipneumoniae	wound
SRR13873194	2.17	Klebsiella pneumoniae	respiratory
SRR13873195	2.357	Klebsiella pneumoniae	blood
SRR13873196	2.201	Klebsiella pneumoniae	blood
SRR13873197	2.507	Klebsiella pneumoniae	blood
SRR13873200	2.109	Klebsiella pneumoniae	respiratory
SRR13873201	1.294	Klebsiella pneumoniae	URINARY
SRR13873202	2.43	Klebsiella pneumoniae	respiratory
SRR13873204	1.147	Klebsiella pneumoniae	URINARY
SRR13873205	2.41	Klebsiella pneumoniae	GASTROINTESTINAL
SRR13873206	2.11	Klebsiella pneumoniae	blood
SRR13873207	2.288	Klebsiella pneumoniae	respiratory
SRR13873208	2.566	Klebsiella pneumoniae	respiratory
SRR13873209	2.144	Klebsiella pneumoniae	respiratory
SRR13873210	1.435	Klebsiella pneumoniae	URINARY
SRR13873211	1.195	Klebsiella pneumoniae	URINARY
SRR13873212	1.562	Klebsiella pneumoniae	URINARY
SRR13873213	1.182	Klebsiella pneumoniae	URINARY
SRR13873214	2.195	Klebsiella quasipneumoniae subsp. similipneumoniae	blood
SRR13873215	2.36	Klebsiella pneumoniae	blood
SRR13873216	2.256	Klebsiella pneumoniae	respiratory
SRR13873217	2.287	Klebsiella pneumoniae	blood
SRR13873218	2.067	Klebsiella pneumoniae	blood
SRR13873219	2.553	Klebsiella pneumoniae	respiratory
SRR13873220	2.463	Klebsiella aerogenes	blood
SRR13873221	1.536	Klebsiella pneumoniae	URINARY
SRR13873223	1.399	Klebsiella pneumoniae	URINARY
SRR13873224	1.307	Klebsiella oxytoca	URINARY
SRR13873225	2.428	Klebsiella pneumoniae	RECTAL
SRR13873226	2.27	Klebsiella pneumoniae	blood
SRR13873227	1.178	Klebsiella pneumoniae	URINARY
SRR13873228	2.095	Klebsiella pneumoniae	blood
SRR13873229	2.159	Klebsiella pneumoniae	respiratory
SRR13873230	2.307	Klebsiella pneumoniae	bone
SRR13873231	2.049	Klebsiella pneumoniae	GASTROINTESTINAL
SRR13873232	2.117	Klebsiella pneumoniae	respiratory
SRR13873233	1.489	Klebsiella pneumoniae	respiratory
SRR13873234	1.284	Klebsiella pneumoniae	URINARY
SRR13873235	1.548	Klebsiella pneumoniae	URINARY
SRR13873236	0.931	Klebsiella pneumoniae	wound
SRR13873237	1.038	Klebsiella pneumoniae	URINARY
SRR13873238	1.421	Klebsiella pneumoniae	URINARY
SRR13873239	2.238	Klebsiella pneumoniae	blood
SRR13873240	2.096	Klebsiella pneumoniae	blood
SRR13873241	2.37	Klebsiella pneumoniae	wound
SRR13873242	2.562	Klebsiella pneumoniae	GASTROINTESTINAL
SRR13873243	2.028	Klebsiella pneumoniae	GASTROINTESTINAL
SRR13873244	1.108	Klebsiella pneumoniae	URINARY
SRR13873245	2.139	Klebsiella pneumoniae	wound
SRR13873246	2.093	Klebsiella pneumoniae	URINARY
SRR13873247	2.411	Klebsiella oxytoca	wound
SRR13873248	2.485	Klebsiella pneumoniae	URINARY
SRR13873249	2.345	Klebsiella pneumoniae	respiratory
SRR13873250	2.277	Klebsiella pneumoniae	URINARY
SRR13873251	1.57	Klebsiella pneumoniae	URINARY
SRR13873252	2.314	Klebsiella pneumoniae	URINARY
SRR13873253	2.428	Klebsiella pneumoniae	URINARY
SRR13873254	2.57	Klebsiella pneumoniae	URINARY
SRR13873255	2.111	Klebsiella pneumoniae	blood
SRR13873256	1.129	Klebsiella pneumoniae	URINARY
SRR13873257	1.301	Klebsiella pneumoniae	respiratory
SRR13873258	1.489	Klebsiella pneumoniae	blood
SRR13873259	1.22	Klebsiella pneumoniae	URINARY
SRR13873260	0.966	Klebsiella pneumoniae	blood
SRR13873261	1.185	Klebsiella pneumoniae	URINARY
SRR13873262	1.009	Klebsiella aerogenes	wound
SRR13873263	1.072	Klebsiella pneumoniae	URINARY
SRR13873264	0.976	Klebsiella pneumoniae	URINARY
SRR13873265	2.075	Klebsiella pneumoniae	respiratory
SRR13873266	1.341	Klebsiella pneumoniae	wound
SRR13873267	1.515	Klebsiella pneumoniae	blood
SRR13873268	0.958	Klebsiella aerogenes	wound
SRR13873269	1.243	Klebsiella pneumoniae	respiratory
SRR13873270	1.225	Klebsiella quasipneumoniae subsp. similipneumoniae	URINARY
SRR13873271	0.971	Klebsiella quasipneumoniae	URINARY
SRR13873272	1.219	Klebsiella pneumoniae	URINARY
SRR13873273	1.046	Klebsiella pneumoniae	respiratory
SRR13873274	1.172	Klebsiella aerogenes	wound
SRR13873275	1.615	Klebsiella pneumoniae	respiratory
SRR13873276	2.289	Klebsiella pneumoniae	respiratory
SRR13873277	0.989	Klebsiella pneumoniae	blood
SRR13873278	1.099	Klebsiella pneumoniae	wound
SRR13873279	1.527	Klebsiella pneumoniae	wound
SRR13873280	1.707	Klebsiella aerogenes	GASTROINTESTINAL
SRR13873281	1.062	Klebsiella pneumoniae	blood
SRR13873282	1.38	Klebsiella pneumoniae	GASTROINTESTINAL
SRR13873283	1.305	Klebsiella pneumoniae	URINARY
SRR13873284	1.547	Klebsiella pneumoniae	URINARY
SRR13873285	0.984	Klebsiella pneumoniae	URINARY
SRR13873286	1.528	Klebsiella pneumoniae	wound
SRR13873287	2.436	Klebsiella pneumoniae	blood
SRR13873288	1.045	Klebsiella pneumoniae	RECTAL
SRR13873289	1.166	Klebsiella pneumoniae	URINARY
SRR13873290	1.056	Klebsiella pneumoniae	URINARY
SRR13873291	1.054	Klebsiella pneumoniae	URINARY
SRR13873292	1.443	Klebsiella pneumoniae	URINARY
SRR13873293	0.98	Klebsiella pneumoniae	respiratory
SRR13873294	1.247	Klebsiella pneumoniae	URINARY
SRR13873295	2.187	Klebsiella pneumoniae	RECTAL
SRR13873296	1.102	Klebsiella aerogenes	blood
