MG-RAST id,order of rows in Figure 5,virome/total_comm,project,sample id,genome project id,Pubmed id,percentage reads crAssphage,crAssphage reads,total reads,Biome,Feature,Material,Environmental Package
4472373.3,544,total_community,Human Microbiome Project (HMP),SRR059927,,19819907,2.7332E-05,13,47563321,terrestrial biome,human-associated habitat,mucus,human-oral
4472713.3,915,total_community,Human Microbiome Project (HMP),SRR061273,,19819907,2.73302E-05,1,3658956,terrestrial biome,human-associated habitat,mucus,human-vaginal
4472514.3,595,total_community,Human Microbiome Project (HMP),SRR060406,,19819907,2.73221E-05,7,25620245,terrestrial biome,human-associated habitat,mucus,human-oral
4472374.3,523,total_community,Human Microbiome Project (HMP),SRR059928,,19819907,2.72731E-05,19,69665685,terrestrial biome,human-associated habitat,mucus,human-oral
4478530.3,596,total_community,Human Microbiome Project (HMP),SRR062379,,19819907,2.61734E-05,8,30565363,terrestrial biome,human-associated habitat,mucus,human-oral
4473483.3,553,total_community,Human Microbiome Project (HMP),SRR062509,,19819907,2.48057E-05,13,52407234,terrestrial biome,human-associated habitat,mucus,human-oral
4473714.3,344,total_community,Human Microbiome Project (HMP),SRR066418,,19819907,2.46637E-05,6,24327256,terrestrial biome,human-associated habitat,feces,human-gut
4478532.3,569,total_community,Human Microbiome Project (HMP),SRR062385,,19819907,2.45576E-05,12,48864659,terrestrial biome,human-associated habitat,mucus,human-oral
4472444.3,602,total_community,Human Microbiome Project (HMP),SRR060121,,19819907,2.45252E-05,8,32619487,terrestrial biome,human-associated habitat,mucus,human-oral
4478602.3,611,total_community,Human Microbiome Project (HMP),SRR063517,,19819907,2.42988E-05,8,32923466,terrestrial biome,human-associated habitat,mucus,human-oral
4473401.3,600,total_community,Human Microbiome Project (HMP),SRR062425,,19819907,2.42062E-05,8,33049426,terrestrial biome,human-associated habitat,mucus,human-oral
4472207.3,554,total_community,Human Microbiome Project (HMP),SRR059433,,19819907,2.39108E-05,13,54368744,terrestrial biome,human-associated habitat,mucus,human-oral
4472431.3,546,total_community,Human Microbiome Project (HMP),SRR060075,,19819907,2.37943E-05,14,58837566,terrestrial biome,human-associated habitat,mucus,human-oral
4517717.3,40,,Mice Frailty,Mouse_18.M11-Aug14_R2,,,2.37792E-05,3,12616066,terrestrial biome,mammalia-associated habitat,feces,host-associated
4473481.3,555,total_community,Human Microbiome Project (HMP),SRR062507,,19819907,2.32276E-05,13,55967985,terrestrial biome,human-associated habitat,mucus,human-oral
